timestamp,cond,trial,success,t_cue,t_zone,p,key
92.0,6,7,1,100,150,1000,1
76.0,6,8,1,100,150,1000,1
92.0,6,9,1,100,150,1000,1
92.0,6,10,1,100,150,1000,1
92.0,6,11,1,100,150,1000,1
108.0,6,12,1,100,150,1000,1
-68.0,6,13,0,100,150,1000,1
60.0,6,14,1,100,150,1000,1
76.0,6,15,1,100,150,1000,1
76.0,6,16,1,100,150,1000,1
76.0,6,17,1,100,150,1000,1
92.0,6,18,1,100,150,1000,1
92.0,6,19,1,100,150,1000,1
92.0,6,20,1,100,150,1000,1
60.0,6,21,1,100,150,1000,1
92.0,6,22,1,100,150,1000,1
92.0,6,23,1,100,150,1000,1
60.0,6,24,1,100,150,1000,1
108.0,6,25,1,100,150,1000,1
108.0,6,26,1,100,150,1000,1
76.0,6,27,1,100,150,1000,1
92.0,6,28,1,100,150,1000,1
76.0,6,29,1,100,150,1000,1
60.0,6,30,1,100,150,1000,1
92.0,6,31,1,100,150,1000,1
76.0,6,32,1,100,150,1000,1
92.0,6,33,1,100,150,1000,1
92.0,6,34,1,100,150,1000,1
76.0,6,35,1,100,150,1000,1
1072.0,4,1,0,0,150,1500,0
1248.0,4,2,0,0,150,1500,0
0.0,4,3,1,0,150,1500,0
1472.0,4,4,0,0,150,1500,0
128.0,4,5,1,0,150,1500,0
96.0,4,6,1,0,150,1500,0
176.0,4,7,0,0,150,1500,0
128.0,4,8,1,0,150,1500,0
128.0,4,9,1,0,150,1500,0
48.0,4,10,1,0,150,1500,0
16.0,4,11,1,0,150,1500,0
1456.0,4,12,0,0,150,1500,0
